feature,importance
days_since_modification,0.3294479347660533
num_tags,0.1679011028477173
has_transformers,0.07786487426171074
has_endpoints_compatible,0.057584265087153176
num_languages,0.0308753477658189
pipeline_tag_other,0.02972846503466928
has_autotrain_compatible,0.02502102809994792
has_safetensors,0.024280684650525654
org_name_length,0.0219941568755373
license_type_unknown,0.020529962089156556
has_license,0.018497285695731017
num_dataset_refs,0.012453394788831009
has_english,0.011884711574164267
has_open_license,0.011780288497946436
is_finetune,0.010988422838156283
has_diffusers,0.010962632270041526
has_dataset_ref,0.01080175354701756
has_gguf,0.010800796342737786
num_arxiv_refs,0.010346653602443101
has_arxiv_ref,0.00998189063866102
has_text_generation,0.009513888033659164
num_base_models,0.008924152392470635
has_base_model,0.007948698969786838
has_apache_license,0.007431171486293293
has_text_to_image,0.006187683052821931
license_type_openrail,0.005625781931500985
pipeline_tag_text-to-image,0.005036139898099118
has_mit_license,0.00451906890050839
license_type_apache-2.0,0.004233391894443515
pipeline_tag_text-generation,0.0041327731634757565
license_type_mit,0.003879699056263272
is_quantized,0.0038304607350263006
has_text_generation_inference,0.002990606708570953
has_conversational,0.0026655012080062943
license_type_creativeml-openrail-m,0.0023250619320115047
is_recent,0.0022081919001644473
is_adapter,0.0021242615147044125
license_type_other,0.0017281154559265369
has_lora,0.0015994603378985048
license_type_cc-by-nc-4.0,0.0014920589928675992
has_multilingual,0.0011949936136803256
has_feature_extraction,0.0010222699278650545
has_sentence_transformers,0.0009411091536097084
pipeline_tag_feature-extraction,0.0008184121850962772
has_image_to_text,0.0006963395693136823
has_custom_code,0.000661892061090266
license_type_llama2,0.000593167767901998
pipeline_tag_image-to-text,0.0005914273984027312
license_type_cc-by-4.0,0.00044301016696095285
license_type_openrail++,0.0003644451375064958
is_very_recent,0.00019683421418360147
has_image_to_image,0.00011837198708336965
pipeline_tag_image-to-image,7.532162190048253e-05
has_text_to_video,6.3230695661608e-05
pipeline_tag_text-to-video,4.813730854827982e-05
pipeline_tag_sentence-similarity,2.7358273756714737e-05
has_ocr,2.1395737690129046e-05
has_region_us,4.643412289007846e-07
is_from_org,0.0
